ShortName	Item_Name	Item_Cost
UTTB	ULTIMATE LITE TREE TOP BAR BLACK 	0
DEVI	VACUUM DIRT DEVIL PORTABLE	0
1200	VCR BETACAM/SP SONY UVW-1200 (Repeat)	275
1300	VCR VHS PANASONIC AG-1300	50
5700	VCR VHS PANASONIC AG-5700 S/VHS (Wired Remote)	85
VGB6	VGA B/O 15HD M TO RGBH&V M (6')  	0
VGE1	VGA EXTENSION CABLE (15HD)  M-F 10'	0
VGE2	VGA EXTENSION CABLE (15HD) M-F 25'	0
VGE5	VGA EXTENSION CABLE (15HD) M-F 50'	0
VGE6	VGA EXTENSION CABLE (15HD) M-F 6'	0
VGA6	VGA MONITOR CABLE (15HD) M-M 6'	0
SW4	VGA SWITCHER 4 X 1 EXTRON SW4-VGA	50
3564	VGA SWITCHER 4 x 1 IN-3564 	50
3566	VGA SWITCHER 6 x 1 IN-3566 	75
HUM	VIDEO ACSRY ADC HUMBUCKER 	25
SV5	VIDEO D/A  (S-VID/VID/AUD) 1 x 5 KRAMER SV-5 	50
50S	VIDEO D/A (S-VIDEO) 1 X 5 KRAMER 50-S	40
MPRQ	CPU Apple MPro Intel Quad@2.93gz/SuperD/#104-109/640HD/8GB	225
WJ22	VIDEO SWITCHER 6 X 1 WJ-220 	40
DPPU	HD SOFTWARE DT Videolabs PlaybackPro USB ENABLER KEY	225
65	FLAT PANEL DISPLAY 65(16:9) PANASONIC TH-65PF12UK PLASMA	950
WABE	WABER STRIP	0
SWC1	WENGER CONNECTORS	0
SWL1	WENGER LEGS  1' LEGS 	0
SWL4	WENGER LEGS  4' LEGS	0
SWL2	WENGER LEGS 2' LEGS 	0
SWL3	WENGER LEGS 32 LEGS	0
SWL6	WENGER LEGS 6 LEGS	0
SWP4	WENGER PLATFORMS  4 X 4 PLATFORM 	25
SWP8	WENGER PLATFORMS  4 X 8 PLATFORM 	45
SWSU	WENGER PLATFORMS 2'H x 3'W WOOD STEP UNIT 	15
TLD1	PROJECTOR LENS BARCO TLD 1.2:1 FIXED LENS (FLM/SLM)	250
BWB3	WHITE BOARD (USE EASEL) 3 X 4	15
1205	SALE-WHITE BOARD ERASER	4
FLM	PROJECTOR DATA BARCO FLM R20+ DLP	2800
TLDZ	PROJECTOR LENS BARCO TLD 1.6-2.0:1 ZOOM LENS (FLM/SLM/RLM)	250
QQ15	PATCH CORD 1/4 M - 1/4 M 15' AND UNDER	0
6823	CRI ENCORE 3M/E	1000
6822	CRI-Cable Ramp End Orange	0
SFD5	FLAT, 4' X 6' X 3.5 DARK GREY SOFT	30
6821	CRI Duvetine, Bolt, Black	0
R451	WIRELESS RACK #451 SHURE UHF HH/LAV (w/HEADSETS) (4)	560
R452	WIRELESS RACK #452 SHURE UHF HH/LAV (w/HEADSETS) (4)	560
SCC3	WOOD C-CLAMPS 3	0
XLR1	XLR 10' AND UNDER	0
XLR9	XLR 100'	0
XLRF	XLR 15'	0
XLR2	XLR 25'	0
XLR5	XLR 50'	0
XFQF	XLR ADAPT-XLR/F TO 1/4F	0
XFQM	XLR ADAPT-XLR/F TO 1/4M	0
XFRF	XLR ADAPT-XLR/F TO RCA/F	0
XFXF	XLR ADAPT-XLR/F TO XLR/F	0
XMQF	XLR ADAPT-XLR/M TO 1/4F	0
XMXM	XLR ADAPT-XLR/M TO XLR/M	0
XLRS	XLR PATCH SNAKE 6-CHANNEL 15'	0
EBTS	BOARD TAPE AND SHARPIE	0
SC50	SERIAL CABLE-D9M TO D9F 50'	0
6820	CRI Drape Black 18' H Goods	0
6819	CRI Flat Screen Surround Stewart	0
6818	CRI Carpet	0
65S	FLAT PANEL SPEAKER PAIR, PANASONIC TY-SP6511WK (65)	100
6817	CRI FASTFOLD SCREEN 15 X 45 STEWART	0
6816	CRI CAMERA PACKAGE LONG LENS	1
DMQ1	DMX 512 CABLE, CHROMA-Q 4-PIN 10'	2
DMQ4	DMX 512 CABLE, CHROMA-Q 4-PIN 5'	2
CAD1	AC T-SHOW DISTRO#10*ADOBE* (2Kw EDISON x24) & LUG BOX	100
TD11	AC T-SHOW DISTRO#11 (2Kw EDISON x6) USE D & 30A CORD	50
TD12	AC T-SHOW DISTRO#12 (2Kw EDISON x6) USE D & 30A CORD	50
TD4	AC T-SHOW DISTRO# 4 (2Kw EDISON x6) USE D & 30A CORD	50
R632	RSG AUDIO RACK #632 (APOGEE AE-3/SUB AMP DRIVE)	165
QMRF	ADAPT 1/4M TO RCA/F	0
RM2F	PATCH CORD RCA Y CORD M-F/F	0
RF2M	PATCH CORD RCA Y CORD F-M/M	0
6815	SALE-ELECTRICAL TAPE BLACK	3.5
6814	CRI SCOOP LIGHT 14 ALTMAN	0
TD9	AC T-SHOW DISTRO# 9 (2Kw EDISON x10) & LUG BOX	75
LA6	LADDER A FRAME 6'	10
VGA3	VGA MONITOR CABLE (15HD) M-M 35'	0
NL4B	SPEAKER CABLE NL 4 BARREL FEM-FEM	0
SFD4	FLAT, 4' X 10' X 3.5 DARK GREY SOFT	35
EC40	NETWORK CABLE RJ-45 ETHERCON 400'	0
EC20	NETWORK CABLE RJ-45 ETHERCON 200'	0
2431	CRI CRV DISK BLANK-SALE ITEM	450
P105	PIPE (1.0) 5'	0
6425	CRI WIRELESS UHF SWITCHABLE HEADSET	140
TD5	AC T-SHOW DISTRO# 5 (2Kw EDISON x6) USE D & 30A CORD	50
PMG5	CPU Apple PowerMacG5 Dual@2.5gz/SuperD/#103/150HD/6GB	175
LB58	LIGHT BOX 5.8 (LIGHTING JOCKEY BOX THING 2)	0
CBS0	APPLIED MATERIALS UTILITY/SPEAKER CASE	0
1954	MONITOR COLOR 19 SONY PVM-1954 (Component/RGBS)	125
ACCL	DIMMER DESK DMX ETC ACCLAIM 24x2  	75
1944	SALE-TAPE BETACAM SP BCT-90MLA 90 MIN	49.95
XPXB	XLR ADAPT-PXB 2 XLR BALANCED TO 1 XLR UNBALANCED	0
ATAP	TELEPHONE ACSRY JK AUDIO THAT-2 HANDSET AUDIO TAP 	20
HAUC	AUDIO ACSRY WHIRLWIND HAUC LINE/HEADPHONE CONTROLLER	10
CBR1	APPLIED MATERIALS VIDEO/AUDIO RACK	0
LSC1	SAFETY CABLE	0
LATF	LADDER TRESTLE FRAME 12' - 19'	50
FBW	FLOOR BASE, FIXTURE- WOOD	2
6805	CRI STAGING STAGE, LEGS for QUARTER ARC	1
MS6	STRIP LIGHT, L&E MINI STRIP/6'-6/3-CIRCUIT	50
D961	DRAPE BLACK COMMANDO 15'W X8'H	20
2399	SALE-GAFFER TAPE BLUE	14.95
6804	CRI FastFold Truss 10'x18' Draper w Front Fabric	300
PA36	PIPE (2) ALUMINUM 3'-6 BLACK	1.5
6802	CRI TRUSS TOMCAT 12 TRUSS 4' BLACK LDT-4	32
QMLO	ADAPT CORD 1/4M TO LEMO	0
ISO4	MIC COUNTRYMAN ISOMAX TA4F HEADSET	30
R611	RSG AUDIO RACK #611 (4X H5 UHF/402C/EQ/QSC DRIVE) 	745
ECT1	CARPET TAPE	0
6801	CRI CASSETTE DECK PMD-222	25
6798	CRI TRUSS TOMCAT 12 6 way corner block	20
REV	HD DISK DRIVE ACSRY IOMEGA USB REV DRIVE, 35GB	50
PROT	TRUSS PROTECTOR	0
FOPD	FIBER OPTIC PATCH, DUAL ST TO MTRJ DUPLEX, 6', ORANGE	10
DSP1	AUDIO DELAY BEHRINGER DSP110 SHARK PROCESSOR	25
6794	CRI BLACKLIGHT, WILDFIRE 400 WATT	150
6793	CRI 20a (1) L6-20 M/F DISTRO CABLE 100'	0
6792	CRI 20a (1) L6-20 M/F DISTRO CABLE 50'	0
PALS	PAR SOURCE-4 PAR LENS SET-(8) SETS OF 4-VNSP/NSP/MFL/WFL	0
MMCD	MIC MUTE PROCO POWERMUTE COUGH DROP	10
309A	MIC SHOCK MOUNT EV 309A	10
DG50	DATA GIRL 5.0 (EVAN'S JOCKEY BLACKBIRD)	0
MFSB	MIC STAND ATLAS ROLLER STAND/BOOM 	15
6787	CRI CPU APPLE G5/1.8(2) 1GB/160 DVDRW	125
GVGS	HD DISK DRIVE ACSRY GRASS VALLEY ProCoder MEDIA CONVERSION SOFTWARE	200
SS21	DIMMER CONTROL SCENESTATION SS-215 DMX 512 VIRTUAL CONSOLE	150
DMQ5	DMX 512 CABLE, CHROMA-Q 4-PIN 50'	5
ASL4	TIMER, SPEAKER D'SAN ACSRY TRAFFIC LIGHT ASL4	50
RV16	RSG VIDEO RACK RILEY (ENCORE SYSTEM), 16RU, BLUE	0
AD11	30a (3) *ADAPTOR#AD-11* (Contractor Male to L21-30 Fem)	5
MR14	NETWORK ROUTER, MERAKI MR14 BASE STATION	75
RV13	RSG VIDEO RACK RUCKUS (ENCORE SYSTEM), 13RU, BLACK	0
6779	CRI 12 X 16 SCREEN SURROUND	150
8041	MONITOR COLOR 8 SONY PVM-8041/2 (Component/RGBS)	50
FMX6	FASTFOLD DELUXE FRONT SHEET 6'X8'	175
BIG	FIELD CASE CASE #BIG BETTY 	0
2025	COMPUTER PRINTER HP COLOR LASERJET CP2025DN	125
HPBW	COMPUTER PRINTER HP B&W LASERJET P2055DN	100
DVID	DVI D/A 1 X 2 GEFEN DVI-142DL (Dual Link)	35
HDAD	HDMI ACSRY ATLONA AT-HD577 AUDIO DE-EMBEDDER	50
MCSC	CLAMP MATTHEWS SCISSOR CLAMP	0
VACU	VACUUM HOOVER UPRIGHT	25
RV36	RSG VIDEO RACK K-32 (ENCORE SYSTEM), 36RU, BLACK, 2 BAY	0
DVI9	DVI MATRIX SWITCHER 18 x 18 PureLink DS-1818M II (DVI-D, SINGLE LINK)	900
BOH1	OVERHEAD 4000 LUMEN, ELMO HP-4K DX	50
SDSM	DRAPE BLACK SCRIM SHARKSTOOTH 31'W X 13'-6H	500
BA2S	FRESNEL 6 BAMBINO DOUBLE FULL SCRIMSET	2
6768	CRI STRIPLIGHT COLORBLAZE LED 4'	150
1642	MIXER MACKIE 1642	75
S450	ELLIPSOIDAL ETC SOURCE-4 BARREL #450 4.5 X 6	0
DONU	ELLIPSOIDAL ETC SOURCE-4 DONUT 6.25	0
6766	CRI TRUSS TOMCAT 20.5 X 2'	0
860	PROJECTOR LCD INFOCUS LP860 w/MEDIUM LENS 1.5-2.2:1	600
6764	CRI MULTI FAN-OUT FEM L6-20 to MALE VEAM	0
SSUS	SPEAKER STAND ULTIMATE SUPPORT (SILVER)	0
RST2	RGBS SNAKE RGBH+V (SPECIAL THIN DIAMETER) 25'	0
1202	MIXER MACKIE 1202	50
6762	CRI CAMERA/CCU CABLE 26-PIN CCU 100'	0
6761	CRI CAMERA/CCU 26-PIN CCU 100'	0
STMR	DRAPE ACSRY STEAMER JIFFY J-4000 WITH 5.5' HOSE	50
TL60	TRI LITE TRUSS T2/60 CORNER	0
DMQ2	DMX 512 CABLE, CHROMA-Q 4-PIN 25'	3
R453	WIRELESS RACK #453 SHURE UHFR HH/LAV (10)	1400
PM5D	MIXER YAMAHA PM5D-RH	850
6420	CRI TRUSS TOMCAT 12 TRUSS 4' SILVER LDT-4	35
BSG5	VIDEO SYNC GENERATOR, HORITA BSG-50, 6-OUTPUTS	25
CARD	CLAMP FIXTURE CARDELLINI CENTER JAW RIGHT ANGLE	8
CTIE	IFB SHURE PSM WIRELESS IN-EAR MONITOR	125
6418	CRI Barco R12+ 1400x1050 (4:3) native	2000
SWL5	WENGER LEGS 3'	0
DSP5	MIXER ACSRY YAMAHA DSP5D EXPANDER	250
DCU5	MIXER ACSRY YAMAHA DCU5D ETHERNET CASCADE UNIT	250
GSQB	GAME SHOW QUIZ BUZZER SYSTEM, 3-PLAYER, SVBZ-3-SYS	50
6760	CRI CAMERA/CCU CABLE 26-PIN CCU 328'	0
831G	MIC CLIP AUDIO TECHNICA AT 831B GUITAR CLIP	1
ALM1	LOUDSPEAKER, POWERED MACKIE SRM450	75
6758	CRI FLAT PANEL DISPLAY NEC-4610	550
6757	CRI FLAT PANEL DISPLAY NEC-4010	550
FCM2	FOGGER CHILLER CONTROL MODULE DOUBLE	25
401S	FLAT PANEL SPEAKER PAIR, NEC SP-4046 (NEC LCD4010)	75
6755	CRI PANASONIC AG-DVX100A DV CAMCORDER	250
6754	CRI FCP EDIT SYSTEM	150
D963	DRAPE BLACK COMMANDO 30'W X8'H	45
FBS	FLOOR BASE, FIXTURE- STEEL	2
D721	DRAPE BLACK COMMANDO 15'W X6'H	15
1529	SALE-FLIPCHART MARKERS-SALE (4)	5
6834	CRI AUTOMATED VARI*LITE VL-3000 WASH 	400
D723	DRAPE BLACK COMMANDO 30'W X6'H	30
D24F	DRAPE BLACK TRUSS DRAPE 50'W X24H	250
D242	DRAPE BLACK TRUSS DRAPE 25'W X24H	125
6833	CRI AUTOMATED VARI*LITE VL-3000 SPOT	400
D241	DRAPE BLACK TRUSS DRAPE 10'W X24H	50
S426	ELLIPSOIDAL ETC SOURCE-4 BARREL #426 6 X 12	0
D16F	DRAPE BLACK TRUSS DRAPE 50'W X16H	150
6753	CRI DIMMER DESK NODE 9801	0
SFJ8	FLAT, 8' JACK BRACE	8
560Z	PROJECTOR LENS LIESEGANG 2.2-4.1:1 ZOOM LENS (dv560)	100
CONS	FLAT PANEL MOUNT ACSRY JELCO EZ-STAND DRAPE SURROUND KIT	25
1921	SALE-GAFFER TAPE BLACK	14.95
BCS5	CART & SKIRT 54 FIXED	15
6750	CRI PIPE (1.5) 4'	2
RST5	RGBS SNAKE RGBH+V (SPECIAL THIN DIAMETER) 50'	0
FOPM	FIBER OPTIC PATCH, MTRJ DUPLEX TO MTRJ DUPLEX, 6', ORANGE	10
GTX4	COMPUTER VIDEO CARD, NVIDIA GEFORCE GTX 460 1GB Mini-HDMI	50
CDR4	AUDIO DISK RECORDER MARANTZ CDR420 (WAV/MP3)	100
PRGT	PATTERN ROTATOR GAM TWIN SPIN	35
LDFH	TRUSS TOMCAT FOLDING HINGE CORNER SILVER	35
R612	RSG AUDIO RACK #612 (4X H5 UHF/402C/EQ/QSC DRIVE)	745
HP51	CPU HP dc5100 P4@3.4gz/CDRW+DVD/#107-124/XPP/80g/1GB	175
OPTO	DIMMER ACSRY ETC OPTO SPLITTER	45
6744	CRI Ramsa A-80	0
P2D2	VGA D/A 1 X 2 Extron P/2 DA 2 Plus	35
FRT6	FASTFOLD TRUSS REAR SHEET 6'X8'	150
6743	CRI VGA EXTENSION CABLE (15HD) M-F 25'	0
6742	CRI VGA MONITOR CABLE(15HD) M-M 10'	0
6741	CRI RGBS SWITCHER 8 X 1 EXTRON ISS 408	850
6740	CRI VGA EXTENSION CABLE (15HD) M-F 10'	0
6739	CRI VGA EXTENSION CABLE (15HD) M-F 10'	0
6738	CRI EXTENSION CABLE (15HD) M-F 25'	0
6737	CRI EXTENSION CABLE (15HD) 25'	0
6736	CRI VIDEO SCALER EXTRON DVS-150	125
6735	CRI FLAT PANEL DISPLAY 42 PIONEER 433	400
AESB	LOUDSPEAKER APOGEE AE-SB SUBWOOFER	65
BAHS	FRESNEL 6 BAMBINO 1/2 FULL SCRIMSET	2
LDAC	TRUSS TOMCAT ARTICULATING CORNER SILVER	45
6733	CRI PROJECTOR BARCO RLM R6+	2000
SDC1	DRAPE CLIP	0
6732	CRI TRUSS SIDE HINGE CORNER BLOCK	0
BAFS	FRESNEL 6 BAMBINO FULL SCRIMSET	2
6731	CRI Gray-modeled backdrop	100
560M	PROJECTOR ACSRY LIESEGANG PIPE ARM MOUNT (dv 560 flex)	20
55	FLAT PANEL DISPLAY 55(16:9) SAMSUNG UN55C8000XF LCD	950
HDMX	HDMI/M ADAPT TO MINI HDMI/M, 10' V1.4	0
FFT6	FASTFOLD TRUSS FRAME 6'X8'	0
HDMZ	HDMI/M ADAPT TO MINI HDMI/M, 15' V1.4	0
CCHD	CAMERA CAMCORDER SAMSUNG HMX-H106 HD SSD 64GB MEMORY	100
FPMP	FLAT PANEL MOUNT PEERLESS SGLS01 FLOOR STAND	150
6726	CRI FLAT PANEL DISPLAY NEC-4010	500
6725	CRI LCD 3000	375
1946	SALE-TAPE BETACAM SP BCT-60MLA 60 MIN	34.95
1945	SALE-TAPE BETACAM SP BCT-30MLA 30 MIN	29.95
6724	CRI GREEN SCREEN PACKAGE	210
6723	CRI SCISSOR LIFT 19'	0
DELX	CPU DELL DualCore Xeon@2.53gz/DVD+-RW/#128-132/Win7/320g/4gm	175
6721	CRI SIDE ARM/SLIDE KNUCKLE 12	0
M128	RGBS MATRIX SWITCHER 12 X 8 EXTRON CROSSPOINT 128	300
6720	CRI DMX 4-PIN 10'	0
SQA8	STAGING STAGE, 8' QUARTER ARC (TWO PIECES)	200
6719	CRI AIR WALL HANGER, ALUMALOCK 750lb.	20
6718	CRI DMX 4-PIN 50'	0
RB01	AUDIO RIGGING BOX (SPANSET, SHACKLES, AEROQUIP & WIRE ROPE)	0
6717	CRI DMX 4-PIN 25'	0
SDST	DRAPE BLACK SCRIM ROOF 20'X30'	250
6716	CRI DMX 5-PIN 50'	0
8312	MIC CLIP AUDIO TECHNICA AT 831B DOUBLE LAV CLIP	2
6715	CRI DMX 5-PIN 100'	0
STMN	SPEAKER TWIST ADAPT MALE TO NL 4	0
TD6	AC T-SHOW DISTRO# 6 (2Kw EDISON x10,L21-30x1) & LUG BOX	85
6714	CRI Ell ETC S4 drop-in IRIS Unit	5
6713	CRI TELEPROMPTING SYSTEM W/PRESIDENTIAL PADDLES	450
6712	CRI PROJECTOR LENS FOR CHRISTIE L100	50
6711	CRI PROJECTOR CHRISTIE L100 10K LUMEN	800
S901	MONITOR RACK (2) COLOR 9  PANASONIC BT-S901Y	75
DA50	VIDEO D/A (VIDEO/S-VIDEO/AUDIO) 1 X 6 SONY DA-500 	50
6710	CRI WIRELESS TELEX SAFE 1000	125
6709	CRI DRAPE PEWTER 25'H X 15'W	50
6708	CRI pipe and drape PEG & SCREW	0.25
6707	CRI MEYER MICA PACKAGE 	0
KVM8	COMPUTER KVM 8x SWITCH KIT NTI UNIMUX-USBV-8O (USB ONLY)	100
XFM7	CRI FASTFOLD FRONT SHEET 7.5 X 10	95
CT4O	CAMLOK 3 TAIL SET 4	25
BDP3	DVD/BLU-RAY 3D PLAYER SAMSUNG BD-C6900	175
HDM2	HDMI MONITOR CABLE M-M 25' V1.4	0
EDB1	EDISON ROUND BLACK 12/3 SJTW 15'	1.5
DM39	DMX 512 CABLE, 3-PIN 100'	10
EDB2	EDISON ROUND BLACK 12/3 SJTW 25'	2.5
EDB5	EDISON ROUND BLACK 12/3 SJTW 50'	5
XDOL	CRI 4-Wheel Dolly	0
EDUW	DUVETINE SKIRTING	0
UTEB	ULTIMATE LITE TREE 2' EXTENSION BAR BLACK	0
EDB9	EDISON ROUND BLACK 12/3 SJTW 100'	10
PROM	MIXER YAMAHA PRO MIX 01 (16 X 2)	125
5007	CRI CUSTOM AUDIO ADAPTERS	5
MM4	LOUDSPEAKER, MEYER MM-4 AUDIO SYSTEM	200
IPHD	RGBS SCAN CONVERTER BARCO FOLSOM ImagePRO-HD	350
6692	CRI PROJECTOR LENS, RLM R6 TLD (2.8 - 5.0)	1
402C	BOSE 402 C CONTROLLER (RACK MOUNT, XLR IN/OUT)	0
TOP	ELLIPSOIDAL ETC SOURCE-4 TOPHAT BLACK	3
SPLB	PODIUM LCD FLOOR-BLACK FINISH	100
SSBJ	SCAFFOLD/BIL-JAX LEVELING JACK/8CASTER	0
SSBD	SCAFFOLD/BIL-JAX 28W X 7'L DECK	0
SSBB	SCAFFOLD/BIL-JAX SQUARING BRACE	0
SSBP	SCAFFOLD/BIL-JAX GRAVITY PIG-TAIL PINS	0
SSBX	SCAFFOLD/BIL-JAX X-BRACE	0
6431	CRI CAMLOK T'S, PARALLEL	0
6430	CRI CAMLOK T'S, TAPPING	0
BCS6	CART & SKIRT 54 FIXED W/CABINET	15
6427	CRI DIMMER DESK EXPRESS 24/48	0
560	PROJECTOR LCD LIESEGANG dv560 w/MEDIUM LENS 1.5-2.2:1	550
6409	CRI SHADING STATION WF/VS	450
BNCF	BNC CABLE PATCH 15'	0
6426	CRI BARNDOOR 6	1.5
C2O2	CAMLOK 3 FEEDER SET 2 25'	40
SSBF	SCAFFOLD/BIL-JAX FRAME 5'W X 4'H	0
6679	CRI FOLSOM IMAGE PRO	150
NSP	DIMMER DESK ACSRY NSP FOR grandMA	480
GRAN	DIMMER DESK DMX MA LIGHTING grandMA CONSOLE	1000
6676	CRI PIN TWO FER	0
DVIF	DVI-D MONITOR CABLE, (PAIR) FIBER OPTIC M-M 165'	200
6674	CRI COPPER MESH SCENIC ELEMENTS	1
6673	PODIUM (CUSTOM)	1
6672	CRI PIPE 12'	1
UTSB	ULTIMATE LITE TREE SIDE BAR BLACK	0
D162	DRAPE BLACK TRUSS DRAPE 25'W X16H	75
D161	DRAPE BLACK TRUSS DRAPE 10'W X16H	30
SFL7	FLAT, 4' X 6' X 2.5 LIGHT GREY SOFT	0
SFL6	FLAT, 4' X 5' X 2.5 LIGHT GREY SOFT	0
SFL5	FLAT, 4' X 4' X 2.5 LIGHT GREY SOFT	0
SFL2	FLAT, 2'6 X 8' X 3.5 LIGHT GREY SOFT	0
MFO6	MULTI FAN-OUT (6') FEMALE PIN to MALE VEAM	18
CBS4	COLOR BOX, SOURCE 4 SIZE ONLY	0
PHSA	PATTERN HOLDER SOURCE-4 A	1
LMPF	PIN ADAPTOR 20a L6-20 MALE to PIN FEMALE	1.5
6646	CRI SCAFFOLD-6 X 5 X 14'-COMPLETE	0
SC99	SERIAL CABLE-D9M TO D9F 100'	0
6645	CRI DRAPE PEWTER 16H X 25'W	0
6644	CRI DRAPE PEWTER 5'H X 20'W	0
6643	CRI DRAPE PEWTER 6'H X 25'W	0
6642	CRI DRAPE PEWTER 10'H X 25'W	0
6641	CRI DRAPE PEWTER 16'H X 20'W	0
6640	CRI DRAPE PEWTER 30'H X 20'W	0
UHFA	WIRELESS UHF ACTIVE DIRECTIONAL ANTENNA, SHURE UA870WB, PAIR	40
6637	CRI FOLSOM SPR-2000 SEAMLESS SWITCHER	500
6636	CRI FASTFOLD TRUSS REAR FABRIC 11'X20'	350
6635	CRI FASTFOLD TRUSS FRAME 11'X20'	450
6634	CRI MOTOR, HARDWARE	15
TSV8	SCREEN TRIPOD  (8') 69X92 BLACK CARPET W/SKIRT	40
TSV7	SCREEN TRIPOD  (7') 60X80 BLACK CARPET W/SKIRT	35
TSV6	SCREEN TRIPOD  (6') 50X67 BLACK CARPET W/SKIRT	30
3262	VGA D/A 1 x 2 IN-3262	25
EGTG	GAFFER TAPE GREY	0
DCAA	CAMERA SPYCAM CLAMP, PIVOT MOUNT	15
6627	CRI Flat Panel 15 NTSC Samsung 150MP	60
CBEC	LED CKI ColorBlast 12 ACSRY EGG CRATE LOUVER	18
6622	CRI PAR 16 75W, 120V MFL BLACK	9
4010	FLAT PANEL DISPLAY 40 (16:9) NEC LCD4010 *BLACK*	400
6618	CRI FLAT PANEL 40 LCD-4000	450
AE2	LOUDSPEAKER APOGEE AE-2	50
R622	RSG AUDIO RACK #622 (APOGEE AE-2 AMP DRIVE)	150
L2F9	30a (3) L21-30 M/F DISTRO CABLE 100' **FLAT**	150
6615	CRI PROJECTOR LENS BARCO XLD 2.2-3:1	0
6614	CRI SWITCHER SCREEN PRO II	0
6613	CRI PROJECTOR RIGGING KIT XLM	0
6612	CRI PROJECTOR BARCO SLM R12+	0
ENCC	RGBS SWITCHER ENCORE CONTROLLER LC (LARGE)	1600
ENCO	RGBS SWITCHER ENCORE VIDEO PROCESSOR RACK	350
SP2	RGBS SWITCHER 8 X 1 SCREENPRO-II HD	850
6607	CRI ZENITH L30W36 30 LCD MONITOR	275
6606	CRI MEYER CP-10 PARA EQ	0
6605	CRI MEYER LD3 LINE DRIVER	0
D165	DRAPE BLACK TRUSS DRAPE 5'W X16H	15
EHL	PROJECTOR ACSRY LIESEGANG EXHAUST HEAT LOUVER	0
SIT	OFFICE CHAIR W/WHEELS & ARMS	10
SDBX	DRAPE BLACK COMMANDO 12'W X16'H	40
6604	CRI MEYER USW1P SUBWOOFER 	0
EMAW	SPEAKER BRACKET, EMAXª WHITE COLOR	0
DUGA	MIXER DUGAN MODEL E AUTOMATIC MIXING CONTROLLER, 8 CHANNEL	200
PAV1	DIRECT BOX RADIAL ProAV1	7.5
S421	AUDIO SNAKE: 4 X 2 X 125'  	15
6603	CRI MEYER MTG 1D RIG GRID	0
6602	CRI MEYER M1D	0
SW8G	NETWORK SWITCH 8/PORT GIGABIT, 3COM 3C1670800A	30
PDBX	PIPE AND DRAPE BASE, EXTRA LARGE  B2424	0
PDPX	PIPE AND DRAPE EXTRA LONG PEG, W/SCREW  8	0
PDUX	PIPE AND DRAPE UPRIGHT 13'-24'  TS1324	17.25
6596	CRI CA-537 CAMERA BACK SONY	80
6595	CRI SONY DXF-51 STUDIO VIEWFINDER	60
6594	CRI SACHTLER V-60 TRIPOD PACKAGE	100
6591	CRI FASTFOLD TRUSS FRAME 7.5'X10'	1
6590	CRI FASTFOLD TRUSS BLACK DRESS 7.5'X10'	1
6589	CRI FASTFOLD TRUSS FRONT SHEET 7.5'X10'	1
6588	CRI KINO FLOW 4FT. X 2 LAMP, DAYLIGHT	35
S4P1	AUDIO SNAKE: 4 X 0 X 125'	15
SPP	RGBS SWITCHER SCREENPRO PLUS 1604 RACK	2000
P2D4	VGA D/A 1 X 4 Extron P/2 DA 4 xi	50
SDBZ	DRAPE BLACK COMMANDO 8.5'W X16'H	30
6582	CRI PROJECTION SCREEN 9' X 16'	750
6581	CRI FASTFOLD TRAME 9'X16'	450
PRO2	TIMER, SPEAKER D'SAN PRO-2000 DIGITAL KIT	200
R801	I COM RACK #801 (TELEX BTR-800 I COM SYSTEM)	340
MTBL	MIC STAND TABLE, ADJUSTABLE BLACK	2
6580	CRI PROJECTOR BARCO XLM	4500
6579	CRI Flat Panel 65 Panasonic 1366x768	1157
6578	CRI SENNHEISER EM3532 W/SK50 PAKS & MKE-2 LAV	140
6577	CRI SENNHEISER EM3532 W/SKM1072 HAND HELD	140
6576	CRI 60 FLOOR-MOUNTED WOW SCREEN	2200
6575	CRI Custom Pivot Table Mounts	175
CYX2	SPARE LAMP- FRESNEL SPARE LAMP KIT (CYX 2000W X 2)	0
CYV2	SPARE LAMP- FRESNEL SPARE LAMP KIT (CYV 1000W X 2)	0
FHM4	SPARE LAMP- FAR CYC SPARE LAMP KIT (FHM 1000W X 4)	0
FDN4	SPARE LAMP- FAR CYC SPARE LAMP KIT (FDN 500W X 4)	0
6567	CRI FASTFOLD FRAME 6'X8'	0
R800	I COM RACK #800 (TELEX BTR-800 I COM SYSTEM)	340
802C	BOSE 802C CONTROLLER (RACK MOUNT, XLR IN/OUT)	0
DV12	DVI-D MONITOR CABLE (DUAL LINK) M-M 25'	0
DVI6	DVI-D MONITOR CABLE (DUAL LINK) M-M 6'	0
3210	FLAT PANEL DISPLAY 32 (16:9) NEC LCD3210 *BLACK*	325
6558	CRI COMPUTER KEYBOARD/MOUSE WIRELESS	16
ARA3	RADIO MOTOROLA VISAR REPROGRAMMING KIT	0
ALTS	WORK LITE, ALTMAN 154 14 SCOOP, 1000w -W-C/F/S	10
PP2	RGBS SWITCHER 8 X 1 GRAPHIC SWITCHER PresentationPRO-II HD/SDI	450
1950	MONITOR COLOR 19 Panasonic BT-M1950Y (Component/RGBS)	125
DANT	DIMMER PACK DMX/3/ETC SENSOR 24 X 2.4K-DANTE	300
CHAR	DIMMER PACK DMX/3/ETC SENSOR 24 X 2.4K-CHARLOTTE	300
6549	CRI FASTFOLD 6'x8' REAR SCREEN	110
6548	CRI HD DISK DRIVE RECORDER G V TURBO	650
6408	CRI PROJECTOR LENS, SLM R8 1.6-2.0 LENS	319
