Location	Schedule	Semester
119	Wednesday 9:00 AM to 12:00 PM	2000 Summer
310	Wednesday 9:00 AM to 12:00 PM	2001 Fall
310	Wednesday 9:00 AM to 12:00 PM	2002 Winter
310	Wednesday 9:00 AM to 12:00 PM	2002 Summer
310	Thursday 1:00 PM to 4:00 PM	2002 Fall
310	Thursday 1:00 PM to 4:00 PM	2003 Winter
313	Wednesday 2:00 PM to 5:00 PM	1997 Fall
313	Monday 12:00 PM to 3:00 PM	1997 Fall
313	Mondays 1:00 PM to 4:00 PM	1998 Winter
313	Monday 12:00 PM to 3:00 PM	1998 Summer
119	Tuesday 9:00 AM to 12:00 PM	1998 Fall
313	Tuesday 9:00 AM to 12:00 PM	1999 Winter
313	Tuesday 9:00 AM to 12:00 PM	1999 Summer
TBA	Wednesday 5:30 PM to 8:30 PM	2000 Fall
310	Tuesday 1:00 PM to 4:00 PM	2002 Fall
310	Tuesday 1:00 PM to 4:00 PM	2003 Winter
215	Wednesday 5:30 PM to 8:30 PM	2002 Winter
119	Mondays 6:30 PM to 9:30 PM	1998 Fall
119	Monday 6:30 PM to 9:30 PM	1999 Winter
119	Monday 6:30 PM to 9:30 PM	1999 Summer
215	Wednesday 5:30 PM to 8:30 PM	2001 Fall
215	Wednesday 5:30 PM to 8:30 PM	2002 Summer
318	Monday 5:30 PM to 8:30 PM	2003 Winter
215	Thursday 1:00 PM to 4:00 PM	2001 Fall
215	Thursday 1:00 PM to 4:00 PM	2002 Winter
215	Thursday 1:00 PM to 4:00 PM	2002 Summer
119	Monday 5:30 AM to 8:30 PM	1998 Winter
313	Monday 5:30 PM to 8:30 PM	1999 Winter
318	Wednesday 1:00 PM to 3:00 PM	1991 Spring
110	Wednesday 4:30 PM to 6:30 PM	2002 Summer
109	Wednesday 4:30 PM to 6:30 PM	2002 Summer
110	Wednesday 4:30 PM to 6:30 PM	2002 Fall
109	Wednesday 4:30 PM to 6:30 PM	2002 Fall
109	Wednesday 4:30 PM to 6:30 PM	2003 Winter
109	Wednesday 4:30 PM to 6:30 PM	2003 Winter
215	Tuesday 4:15 PM to 5:15 PM	2003 Winter
215	Tuesday 4:15 PM to 5:30 PM	2002 Fall
119	Thursday 12:00 PM to 3:00 PM	1996 Fall
318	Thursday 1:00 PM to 4:00 PM	1997 Fall
313	Tuesday 9:00 AM to 12:00 PM	1998 Winter
119	Tuesday 9:00 AM to 12:00 PM	1998 Winter
313	Tuesday 9:00 AM to 12:00 PM	1998 Fall
119	Wednesday 12:00 PM to 3:00 PM	1999 Fall
114	Tuesday 1:00 PM to 4:00 PM	1999 Winter
114	Tuesday 1:00 PM to 4:00 PM	2000 Winter
114	Tuesday 1:00 PM to 4:00 PM	1997 Winter
114	Thursday 1:00 PM to 4:00 PM	1999 Winter
114	Thursday 1:00 PM to 4:00 PM	1995 Fall
114	Friday 9:00 AM to 12:00 PM	2000 Winter
318	Wednesday 6:00 PM to 9:00 PM	1996 Spring
119	Wednesday 12:00 AM to 12:00 AM	1996 Fall
313	Tuesday 9:00 AM to 12:00 PM	1997 Fall
318	Tuesday 9:00 AM to 12:00 PM	1997 Fall
318	Tuesday 7:00 PM to 9:00 PM	1993 Fall
114	Tuesdays 7:00 PM to 9:00 PM	1995 Fall
114	Tuesday 7:00 PM to 9:00 PM	1996 Fall
114	 12:00 AM to 12:00 AM	2000 Winter
114	Thursday 6:30 PM to 8:30 AM	1998 Summer
110	Friday/Sat 9:00 AM to 5:00 PM	2002 Winter
318	Tuesdays 9:00 AM to 12:00 PM	1993 Spring
114	Thursday 6:00 PM to 9:00 PM	1994 Fall
119	Tuesday 6:00 PM to 9:00 PM	1995 Fall
318	Tuesday 12:00 PM to 3:00 PM	1993 Fall
119	Thursday 1:00 PM to 4:00 PM	1996 Summer
313	Wednesday 6:00 PM to 9:00 PM	2000 Winter
FF2	Friday 9:00 AM to 12:00 PM	1991 Spring
313	Mondays 3:00 PM to 6:00 PM	1993 Spring
313	Thursday 1:00 PM to 4:00 PM	2000 Winter
318	Wednesday 1:00 PM to 4:00 PM	2003 Winter
313	Tuesday 9:00 AM to 12:00 PM	1995 Fall
318	Tuesday 9:00 AM to 12:00 PM	2000 Summer
114	Thursday 1:00 PM to 4:00 PM	1999 Summer
114	Thursday 1:00 PM to 4:00 PM	1996 Winter
114	Thursday 1:00 PM to 4:00 PM	2000 Summer
318	Tuesday 1:00 PM to 4:00 PM	1997 Fall
FF1	Tuesday 6:00 PM to 9:00 PM	1993 Fall
312	Wednesday 9:00 AM to 12:00 PM	2002 Winter
114	Tuesday 5:30 AM to 8:30 AM	2000 Winter
215	Tuesday 5:30 PM to 8:30 PM	2003 Winter
114	Tuesday 6:00 PM to 9:00 PM	2000 Summer
318	Thursday 1:00 PM to 4:00 PM	1998 Fall
FF2	Tuesdays 12:00 PM to 3:00 PM	1993 Spring
FF2	Mondays 6:00 PM to 9:00 PM	1993 Fall
114	Tuesday 1:00 PM to 4:00 PM	1998 Fall
109	Tuesday 1:00 PM to 4:00 PM	2001 Fall
109	Thursday 1:00 PM to 4:00 PM	2002 Fall
FF2	Tuesdays 9:00 AM to 12:00 PM	1993 Fall
119	Tuesdays 9:00 AM to 12:00 PM	1994 Fall
114	Tuesday 9:00 AM to 12:00 PM	1995 Fall
114	Tuesday 9:00 AM to 12:00 PM	1997 Fall
110	Thursday 1:00 PM to 4:00 PM	2001 Fall
110	Thursday 1:00 PM to 4:00 PM	2002 Fall
FF2	Tuesday 12:00 PM to 3:00 PM	1993 Fall
313	Tuesday 9:00 AM to 12:00 PM	1994 Fall
114	Tuesday 1:00 PM to 4:00 PM	1996 Fall
216	Thursday 1:00 PM to 4:00 PM	2002 Fall
114	Tuesday 1:00 PM to 4:00 PM	1999 Fall
313	Tuesdsay 9:00 AM to 12:00 PM	1993 Fall
313	Tuesday 12:00 PM to 3:00 PM	1994 Fall
313	Tuesday 12:00 PM to 3:00 PM	1993 Fall
119	Tuesday 12:00 PM to 3:00 PM	1994 Fall
318	Thursdays 9:00 AM to 12:00 PM	1993 Spring
318	Tuesday 9:00 AM to 12:00 PM	1993 Fall
FF1	Thursday 9:00 AM to 12:00 PM	1991 Spring
318	Mondays 9:00 AM to 12:00 PM	1993 Spring
FF1	Mondays and Wednesdays 12:00 PM to 3:00 PM	1994 Summer
114	Wednesday 9:00 AM to 12:00 PM	1994 Fall
318	Thursday 12:00 PM to 3:00 PM	1995 Fall
119	Tuesday 9:00 AM to 12:00 PM	1996 Fall
313	Wednesday 12:00 PM to 3:00 PM	1997 Spring
114	Mondays and Wednesdays 1:30 AM to 4:30 AM	1997 Spring
110	Monday 1:00 PM to 4:00 PM	2002 Fall
114	Mondays 9:00 AM to 12:00 PM	1997 Fall
318	Mondays 9:00 AM to 12:00 PM	1998 Fall
109	Monday 9:00 AM to 12:00 PM	2001 Fall
114	Wednesday 12:00 PM to 3:00 PM	1995 Spring
114	Fridays 1:00 PM to 4:00 PM	1997 Fall
114	Monday 1:00 PM to 4:00 PM	1998 Fall
114	Friday 1:00 PM to 4:00 PM	1999 Fall
109	Monday 1:00 PM to 4:00 PM	2001 Fall
216	Friday 1:00 PM to 4:00 PM	2002 Fall
318	Thursday 12:00 PM to 3:00 PM	1995 Spring
114	Thursday 6:00 PM to 9:00 PM	1996 Spring
114	Friday 1:00 PM to 4:00 PM	1998 Fall
109	Friday 9:00 AM to 12:00 PM	2001 Fall
114	 12:00 AM to 12:00 AM	1996 Spring
215	 12:00 AM to 12:00 AM	2001 Fall
FF1	Tuesday 9:00 AM to 12:00 PM	1991 Spring
FF1	Thursdays 9:00 AM to 12:00 PM	1993 Spring
114	Wednesday 3:00 PM to 6:00 PM	1994 Fall
318	Wednesay 3:00 PM to 6:00 PM	1995 Fall
114	Thursday 9:00 AM to 12:00 PM	1996 Spring
318	Thursday 3:00 PM to 6:00 PM	1993 Fall
318	Wednesday 3:00 PM to 6:00 PM	1996 Fall
318	Tuesdays 9:00 AM to 12:00 PM	1995 Spring
318	 9:00 AM to 12:00 PM	1996 Spring
114	Monday 9:00 AM to 12:00 PM	1998 Winter
114	Monday 9:00 AM to 12:00 PM	2000 Winter
110	Monday 9:00 AM to 12:00 PM	2002 Winter
110	Monday 9:00 AM to 12:00 PM	2003 Winter
318	Friday 1:00 PM to 4:00 PM	1998 Winter
114	Friday 1:00 PM to 4:00 PM	1999 Winter
318	Friday 9:00 AM to 12:00 PM	2000 Winter
318	Monday 1:00 PM to 4:00 PM	2002 Winter
215	Friday 1:00 PM to 4:00 PM	2003 Winter
109	Friday 1:00 PM to 4:00 PM	2002 Winter
114	Tuesday 9:00 AM to 12:00 PM	1998 Summer
114	Tuesday 9:00 AM to 12:00 PM	2000 Summer
109	Thursday 1:00 PM to 4:00 PM	2002 Winter
109	Thursday 1:00 PM to 4:00 PM	2003 Winter
114	Tuesday 9:00 AM to 12:00 PM	1996 Summer
114	Thursday 1:00 PM to 4:00 PM	1998 Summer
114	Tuesday 9:00 AM to 12:00 PM	1999 Summer
110	Thursday 1:00 PM to 4:00 PM	2002 Winter
216	Thursday 1:00 PM to 4:00 PM	2003 Winter
318	Thursday 1:00 PM to 4:00 PM	2000 Summer
110	Thursday 1:00 PM to 4:00 PM	2003 Winter
114	Saturday 12:00 PM to 3:00 PM	1999 Summer
114	Monday 1:00 PM to 4:00 PM	1999 Winter
109	Monday 9:00 AM to 12:00 PM	2002 Winter
110	Monday 1:00 PM to 4:00 PM	2003 Winter
318	 1:00 PM to 4:00 AM	2000 Winter
114	Friday 9:00 AM to 12:00 PM	1998 Winter
318	Monday 9:00 AM to 12:00 PM	1999 Winter
215	Friday 9:00 AM to 1:00 PM	2003 Winter
114	Friday 9:00 AM to 12:00 PM	1999 Winter
109	Friday 9:00 AM to 12:00 PM	2002 Winter
109	Monday 1:00 PM to 4:00 PM	2002 Winter
313	Tuesdays 12:00 PM to 3:00 PM	1995 Spring
119	Tuesday 1:00 PM to 4:00 PM	1999 Winter
312	Tuesday 1:00 PM to 4:00 PM	2002 Winter
109	Tuesday 1:00 PM to 4:00 PM	2003 Winter
FF2	Wednesday 9:00 AM to 12:00 PM	1991 Spring
FF2	Mondays 9:00 AM to 12:00 PM	1993 Fall
119	Monday 9:00 AM to 12:00 PM	1994 Fall
119	Monday 9:00 AM to 12:00 PM	1995 Fall
119	Tuesday 9:00 AM to 12:00 PM	1996 Winter
318	Tuesday 9:00 AM to 12:00 PM	1997 Winter
119	Tuesday 1:00 PM to 4:00 PM	1998 Winter
119	Tuesday 1:00 PM to 4:00 PM	2000 Winter
109	Tuesday 1:00 PM to 4:00 PM	2002 Winter
110	Tuesday 1:00 PM to 4:00 PM	2003 Winter
FF2	Wednesday 12:00 PM to 3:00 PM	1991 Spring
313	Mondays 2:00 PM to 5:00 PM	1993 Fall
313	Wednesdays 12:00 PM to 3:00 PM	1993 Spring
313	Monday 2:00 AM to 5:00 AM	1994 Fall
114	Mondays 2:00 PM to 5:00 PM	1995 Fall
114	Tuesday 9:00 AM to 12:00 PM	1996 Winter
119	Tuesday 9:00 AM to 12:00 PM	1997 Winter
119	Thursday 1:00 PM to 4:00 PM	1999 Winter
114	Thursday 1:00 PM to 4:00 PM	2000 Winter
215	Tuesday 1:00 PM to 4:00 PM	2002 Winter
312	Tuesday 1:00 PM to 4:00 PM	2003 Winter
114	Thursday 1:00 PM to 4:00 PM	1998 Winter
119	Tuesday 1:00 PM to 4:00 PM	1996 Winter
114	Thursday 1:00 PM to 4:00 PM	1997 Winter
318	Thursday 1:00 PM to 4:00 PM	1999 Winter
119	Thursday 1:00 PM to 4:00 PM	2000 Winter
318	Thursday 1:00 PM to 4:00 PM	1997 Winter
109	Monday 9:00 AM to 12:00 PM	2002 Summer
114	Friday 9:00 AM to 12:00 PM	1998 Summer
114	Monday 1:00 PM to 4:00 PM	1999 Summer
114	Friday 9:00 AM to 12:00 PM	2000 Summer
110	Monday 1:00 PM to 4:00 PM	2002 Summer
114	Friday 1:00 PM to 4:00 PM	1999 Summer
110	Friday 9:00 AM to 12:00 PM	2002 Summer
FF2	Thursday 9:00 AM to 12:00 PM	1993 Fall
318	Mondays 12:00 PM to 3:00 PM	1993 Spring
119	Thursday 9:00 AM to 12:00 PM	1994 Fall
119	Mondays 2:00 PM to 5:00 PM	1995 Spring
114	Thursday 9:00 AM to 12:00 PM	1995 Fall
FF2	Tuesday 6:00 PM to 9:00 PM	1991 Spring
119	Mondays 2:00 PM to 5:00 PM	1996 Spring
114	Wednesday 12:00 PM to 3:00 PM	1996 Spring
FF1	Thursday 12:00 PM to 3:00 PM	1991 Spring
313	Monday 1:00 PM to 4:00 PM	2003 Summer
119	Wednesday 2:00 PM to 4:30 PM	1998 Fall
119	Thursday 1:00 PM to 4:00 PM	1999 Fall
109	Thursday 9:00 AM to 12:00 PM	2002 Winter
110	Thursday 9:00 AM to 12:00 PM	2002 Fall
318	Mondays 2:00 PM to 5:00 PM	1993 Fall
119	Monday 2:00 AM to 5:00 AM	1994 Fall
119	Monday 2:00 PM to 5:00 PM	1995 Fall
109	Thursday 1:00 PM to 4:00 PM	2001 Fall
110	Tuesday 1:00 PM to 4:00 PM	2002 Fall
318	Wednesday 9:00 AM to 12:00 PM	1991 Spring
FF2	Wednesdays 12:00 PM to 3:00 PM	1993 Spring
119	Tuesdays 9:00 AM to 12:00 PM	1995 Spring
114	Tuesday 1:00 PM to 4:00 PM	1996 Winter
ll0	Tuesday 1:00 PM to 4:00 PM	2001 Fall
109	Tuesday 1:00 PM to 4:00 PM	2002 Fall
318	Thursday 1:00 PM to 4:00 PM	1999 Fall
216	Tuesday 1:00 PM to 4:00 PM	2002 Fall
318	Wednesday 6:00 PM to 9:00 PM	1995 Fall
FF1	Wednesday 6:00 PM to 9:00 PM	1991 Spring
318	Wednesdays 9:00 AM to 12:00 PM	1993 Spring
FF2	Tuesday 12:00 PM to 3:00 PM	1991 Spring
114	Monday 9:00 AM to 12:00 PM	1998 Summer
114	Monday 9:00 AM to 12:00 PM	1999 Summer
110	Monday 9:00 AM to 12:00 PM	2002 Summer
114	Friday 1:00 PM to 4:00 PM	1998 Summer
318	Friday 9:00 AM to 12:00 PM	1999 Summer
313	Friday 1:00 PM to 4:00 PM	2000 Summer
109	Monday 1:00 PM to 4:00 PM	2002 Summer
119	Tuesday 1:00 PM to 4:00 PM	1999 Summer
318	Tuesday 1:00 PM to 4:00 PM	1998 Winter
110	Monday 9:00 AM to 12:00 PM	2001 Fall
114	Monday 9:00 AM to 12:00 PM	1999 Fall
110	Monday 9:00 AM to 12:00 PM	2002 Fall
114	Fridays 9:00 AM to 12:00 PM	1998 Fall
114	Friday 9:00 AM to 12:00 PM	1999 Fall
318	Monday 1:00 PM to 4:00 PM	2001 Fall
215	Friday 9:00 AM to 12:00 PM	2002 Fall
114	Friday 9:00 AM to 12:00 PM	1997 Fall
109	Friday 2:00 PM to 5:00 PM	2001 Fall
119	Friday 1:00 PM to 4:00 PM	1999 Summer
FF1	Tuesdays 12:00 PM to 3:00 PM	1993 Spring
318	Tuesday 12:00 PM to 3:00 PM	1994 Fall
318	Tuesdays 12:00 PM to 3:00 AM	1995 Spring
318	Tuesday 12:00 PM to 3:00 PM	1996 Spring
215	Tuesday 1:00 PM to 4:00 PM	2001 Fall
216	Tuesday 1:00 PM to 4:00 PM	2002 Winter
318	Tuesday 1:00 PM to 4:00 PM	2002 Summer
312	Tuesday 1:00 PM to 4:00 PM	2002 Fall
318	Tuesday 1:00 PM to 4:00 PM	2003 Winter
318	Tuesday 1:00 PM to 4:00 PM	1998 Fall
318	Tuesday 1:00 PM to 4:00 PM	1999 Fall
318	Tuesday 12:00 PM to 3:00 PM	1995 Fall
318	Tuesday 1:00 PM to 4:00 PM	2000 Winter
318	Tuesday 1:00 PM to 4:00 PM	1999 Winter
318	Tuesday 1:00 PM to 4:00 PM	2000 Summer
318	Tuesday 1:00 PM to 4:00 PM	1999 Summer
216	Wednesday 5:30 PM to 8:30 PM	2002 Winter
119	Tuesdays 3:00 PM to 6:00 PM	1994 Fall
TBA	Tuesday 5:30 PM to 8:30 AM	2001 Winter
119	Tuesdays 12:00 PM to 3:00 PM	1995 Spring
318	Tuesday 12:00 PM to 3:00 PM	1996 Spring
313	Mondays 9:00 AM to 12:00 PM	1993 Spring
114	Thursdays 6:00 PM to 9:00 PM	1997 Spring
119	Thursday 6:00 PM to 9:00 PM	1997 Fall
119	Tuesday 6:00 PM to 9:00 PM	1998 Fall
119	Tuesday 6:00 PM to 9:00 PM	1999 Fall
313	Thursday 1:00 PM to 4:00 PM	2000 Winter
312	Monday 5:30 PM to 8:30 PM	2001 Fall
216	Wednesday 1:00 PM to 4:00 PM	2002 Winter
312	Monday 5:30 PM to 8:30 PM	2002 Summer
318	Tuesday 5:30 PM to 8:30 PM	2002 Fall
310	Monday 5:30 PM to 8:30 PM	2003 Winter
119	Thursday 6:00 PM to 9:00 PM	1999 Winter
FF2	Mondays 12:00 PM to 3:00 PM	1993 Fall
313	Monday 9:00 AM to 12:00 PM	1991 Spring
105	Mondays 12:00 PM to 3:00 PM	1994 Fall
119	Mondays 6:00 PM to 9:00 PM	1995 Spring
313	Mondays 3:00 PM to 6:00 PM	1995 Fall
119	Wednesday 3:00 PM to 6:00 PM	1996 Spring
313	Tuesday 9:00 AM to 12:00 PM	1996 Fall
313	Tuesday 3:00 PM to 6:00 PM	1997 Spring
216	Wednesday 1:00 PM to 4:00 PM	2002 Summer
FF2	Tuesdays 3:00 AM to 6:00 AM	1993 Fall
313	Wednesday 12:00 PM to 3:00 PM	1991 Spring
FF2	Tuesdays 3:00 PM to 6:00 PM	1993 Spring
318	Wednesday 12:00 PM to 3:00 PM	1994 Fall
114	Wednesday 3:00 PM to 6:00 PM	1995 Spring
318	Tuesday 3:00 PM to 6:00 PM	1995 Fall
119	Thursday 12:00 PM to 3:00 PM	1996 Spring
318	Tuesday 3:00 PM to 6:00 PM	1996 Fall
119	Thursday 6:00 PM to 9:00 PM	1997 Spring
FF2	Thursday 6:00 PM to 9:00 PM	1993 Fall
FF2	Thursday 6:00 PM to 9:00 PM	1991 Spring
FF2	Thursdays 6:00 PM to 9:00 PM	1993 Spring
313	Thursday 12:00 AM to 12:00 AM	1994 Fall
119	Thursday 6:00 PM to 9:00 PM	1995 Spring
119	Thursday 2:00 PM to 5:00 PM	1995 Fall
119	Thursday 6:00 PM to 9:00 PM	1996 Spring
119	Mondays 6:00 PM to 9:00 PM	1996 Fall
313	Monday 12:00 PM to 3:00 PM	1991 Spring
FF2	Wednesday 3:00 PM to 6:00 PM	1993 Fall
119	Mondays 6:00 PM to 9:00 PM	1994 Fall
313	Monday 12:00 PM to 3:00 PM	1995 Spring
119	Thursday 6:00 PM to 9:00 PM	1995 Fall
119	Thursday 12:00 PM to 3:00 PM	1996 Spring
119	Thursday 6:00 PM to 9:00 PM	1996 Fall
FF1	Thursdays 12:00 PM to 3:00 PM	1993 Spring
312	Mondays 12:00 PM to 3:00 PM	1997 Spring
313	Wednesday 3:00 PM to 6:00 PM	1991 Spring
119	Thursday 12:00 PM to 3:00 PM	1994 Fall
318	Thursday 9:00 AM to 12:00 PM	1998 Summer
312	Wednesday 9:00 AM to 12:00 PM	2002 Summer
114	Tuesday 5:30 PM to 8:30 PM	1998 Winter
318	Thursday 12:00 PM to 3:00 PM	1993 Fall
318	Thursday 9:00 AM to 12:00 PM	1994 Fall
114	Tuesday 1:00 PM to 4:00 PM	1995 Fall
114	Tuesday 9:00 AM to 12:00 PM	1996 Fall
318	Thursday 9:00 AM to 12:00 PM	1993 Fall
114	Tuesday 9:00 AM to 12:00 PM	1999 Fall
114	Thursday 1:00 PM to 4:00 PM	1996 Fall
318	Thursday 12:00 PM to 3:00 PM	1994 Fall
109	Tuesday 9:00 AM to 12:00 PM	2002 Fall
114	Tuesday 9:00 AM to 12:00 PM	1998 Fall
318	Tuesday 9:00 AM to 12:00 PM	1999 Fall
109	Tuesday 9:00 AM to 12:00 PM	2001 Fall
114	Tuesday 1:00 PM to 4:00 PM	1997 Fall
114	Thursday 1:00 PM to 4:00 PM	1997 Fall
114	Thursday 1:00 PM to 4:00 PM	1998 Fall
110	Tuesday 9:00 AM to 12:00 PM	2001 Fall
216	Tuesday 9:00 AM to 12:00 PM	2002 Fall
114	Thursday 1:00 PM to 4:00 PM	1999 Fall
110	Tuesday 9:00 AM to 12:00 PM	2002 Fall
114	Tuesday 9:00 AM to 12:00 PM	1997 Winter
114	Tuesday 9:00 AM to 12:00 PM	1998 Winter
114	Tuesday 9:00 AM to 12:00 PM	1999 Winter
109	Wednesday 1:00 PM to 4:00 PM	2002 Winter
109	Wednesday 1:00 PM to 4:00 PM	2003 Winter
114	Tuesday 1:00 PM to 4:00 PM	1998 Winter
110	Wednesday 1:00 PM to 4:00 PM	2002 Winter
110	Wednesday 1:00 PM to 4:00 PM	2003 Winter
114	Friday 9:00 AM to 12:00 PM	1997 Winter
216	Wednesday 6:30 PM to 9:00 PM	2002 Summer
114	Monday 5:30 PM to 8:30 PM	2000 Summer
114	Fridays 1:00 PM to 4:00 PM	2000 Summer
318	Tuesday 9:00 AM to 12:00 PM	2002 Summer
318	Friday 1:00 PM to 4:00 PM	1998 Summer
119	Thursdays 1:00 PM to 4:00 PM	1995 Fall
110	Wednesday 9:00 AM to 12:00 PM	2001 Fall
114	Wednesday 9:00 AM to 12:00 PM	1996 Fall
109	Wednesday 9:00 AM to 12:00 PM	2001 Fall
114	Wednesday 1:00 PM to 4:00 PM	1996 Fall
114	Tuesdays & Thursdays 9:00 AM to 11:00 AM	1994 Fall
FF1	Tuesdays 9:00 AM to 11:00 AM	1993 Fall
318	Wednesday 9:00 AM to 12:00 PM	1998 Fall
114	Wednesday 9:00 AM to 12:00 PM	1999 Fall
110	Wednesday 9:00 AM to 12:00 PM	2002 Fall
114	Wednesday 9:00 AM to 12:00 PM	1997 Fall
FF1	Tuesday 1:00 PM to 3:00 PM	1993 Fall
114	Tuesdays and Thursdays 1:00 PM to 3:00 PM	1994 Fall
114	Wednesday 9:00 AM to 12:00 PM	1998 Fall
109	Wednesday 9:00 AM to 12:00 PM	2002 Fall
114	Wednesday 1:00 PM to 4:00 PM	1997 Fall
216	Wednesday 9:00 AM to 12:00 PM	2002 Fall
318	Wednesday 1:00 PM to 4:00 PM	1997 Fall
313	Thursday 1:00 PM to 4:00 PM	1996 Winter
FF1	Monday & Wednesday 9:00 AM to 11:00 AM	1991 Spring
FF1	Mondays and Wednesdays 9:00 AM to 11:00 AM	1993 Spring
114	Tuesdays and Thursdays 9:00 AM to 11:00 AM	1995 Spring
114	Wednesday 9:00 AM to 12:00 PM	1997 Winter
114	Wednesday 9:00 AM to 12:00 PM	1998 Winter
318	Wednesday 9:00 AM to 12:00 PM	1999 Winter
114	Wednesday 9:00 AM to 12:00 PM	2000 Winter
110	Wednesday 9:00 AM to 12:00 PM	2002 Winter
110	Wednesday 9:00 AM to 12:00 PM	2003 Winter
FF1	Monday & Wednesday 1:00 PM to 3:00 PM	1991 Spring
FF1	Mondays & Wednesdays 2:00 PM to 4:00 PM	1993 Spring
114	Tuesdays 1:00 PM to 3:00 PM	1995 Spring
114	Wednesday 1:00 PM to 4:00 PM	1997 Winter
114	Wednesday 1:00 PM to 4:00 PM	1998 Winter
114	Wednesday 9:00 AM to 12:00 PM	1999 Winter
109	Wednesday 9:00 AM to 12:00 PM	2003 Winter
109	Wednesday 9:00 AM to 12:00 PM	2002 Winter
318	Wednesday 1:00 PM to 4:00 PM	1998 Winter
216	Wednesday 9:00 AM to 12:00 PM	2003 Winter
315	Thursday 1:00 PM to 4:00 PM	1996 Summer
114	Wednesday 9:00 AM to 12:00 PM	1998 Summer
318	Wednesday 9:00 AM to 12:00 PM	1999 Summer
110	Wednesday 9:00 AM to 12:00 PM	2002 Summer
114	Wednesday 9:00 AM to 12:00 PM	2000 Summer
114	Wednesday 1:00 PM to 4:00 PM	1998 Summer
114	Wednesday 9:00 AM to 12:00 PM	1999 Summer
109	Wednesday 9:00 AM to 12:00 PM	2002 Summer
318	Wednesday 1:00 PM to 4:00 AM	1998 Summer
318	Monday 3:00 PM to 6:00 PM	1991 Spring
FF1	Mondays 3:00 PM to 6:00 PM	1993 Spring
FF1	Mondays 9:00 AM to 12:00 PM	1993 Fall
119	Wednesday 9:00 AM to 12:00 PM	1995 Fall
318	Thursday 12:00 PM to 3:00 PM	1996 Spring
304	Thursday 9:00 AM to 12:00 PM	1996 Fall
114	Wednesday 1:00 PM to 4:00 PM	1998 Fall
318	Wednesday 1:00 PM to 4:00 PM	1999 Winter
110	Wednesday 1:00 PM to 4:00 PM	2001 Fall
109	Wednesday 1:00 PM to 4:00 PM	2002 Fall
119	Wednesday 9:00 AM to 12:00 PM	1994 Fall
313	Mondays 9:00 AM to 12:00 PM	1995 Spring
109	Wednesday 1:00 PM to 4:00 PM	2001 Fall
110	Wednesday 1:00 PM to 4:00 PM	2002 Fall
114	Thursday 3:00 PM to 6:00 PM	1994 Fall
119	Thursday 12:00 PM to 3:00 PM	1995 Spring
318	Tuesdays 3:00 PM to 6:00 PM	1995 Spring
313	Thursday 12:00 AM to 12:00 AM	1996 Fall
109	Thursday 9:00 AM to 12:00 PM	2001 Fall
313	Monday 2:00 PM to 5:00 PM	1996 Spring
114	Wednesdays 9:00 AM to 12:00 PM	1998 Spring
114	Tues/Thurs 9:00 AM to 12:00 PM	1999 Spring
310	Tuesday 9:00 AM to 12:00 PM	2001 Fall
114	 9:00 AM to 5:00 PM	1994 Fall
119	Thursday 1:00 PM to 4:00 PM	1999 Summer
119	Thursday 1:00 PM to 4:00 PM	2000 Summer
318	Thursday 1:00 PM to 4:00 PM	2002 Fall
318	Tuesday 12:00 PM to 3:00 PM	1997 Spring
114	Monday 6:00 PM to 9:00 PM	1995 Fall
318	Tuesday 1:00 PM to 4:00 PM	1998 Summer
310	Monday 9:00 AM to 12:00 PM	2003 Summer
110	Monday 9:00 AM to 12:00 PM	2003 Summer
110	Monday 1:00 PM to 4:00 PM	2003 Summer
216	Friday 9:00 AM to 12:00 PM	2003 Summer
215	Thursday 9:00 AM to 12:00 PM	2003 Summer
216	Tuesday 9:00 AM to 12:00 PM	2003 Summer
318	Tuesday 1:00 PM to 4:00 PM	2003 Summer
312	Wednesday 9:00 AM to 12:00 PM	2003 Summer
109	Wednesday 1:00 PM to 12:00 PM	2003 Summer
110	Wednesday 1:00 PM to 4:00 PM	2003 Summer
216	Wednesday 1:00 PM to 4:00 PM	2003 Summer
318	Monday 9:00 AM to 12:00 PM	2003 Summer
313	Monday 9:00 AM to 12:00 PM	2003 Summer
216	Monday 9:00 AM to 12:00 PM	2003 Summer
312	Monday 9:00 AM to 12:00 PM	2003 Summer
215	Monday 9:00 AM to 12:00 PM	2003 Summer
210	Monday 9:00 AM to 12:00 PM	2003 Summer
109	Monday 9:00 AM to 12:00 PM	2003 Summer
312	Monday 1:00 PM to 5:00 PM	2003 Summer
215	Monday 1:00 PM to 5:00 PM	2003 Summer
216	Monday 1:00 PM to 5:00 PM	2003 Summer
109	Monday 1:00 PM to 5:00 PM	2003 Summer
216	Thursday 6:00 PM to 9:00 PM	2003 Summer
312	Tuesday 9:00 AM to 12:00 PM	2003 Summer
110	Tuesday 9:00 AM to 12:00 PM	2003 Summer
215	Tuesday 9:00 AM to 12:00 PM	2003 Summer
109	Tuesday 9:00 AM to 12:00 PM	2003 Summer
312	Monday 5:30 PM to 8:30 PM	2003 Summer
318	Monday 5:30 PM to 8:30 PM	2003 Summer
313	Wednesday 5:30 PM to 8:30 PM	2003 Summer
310	Wednsday 9:00 AM to 12:00 PM	2003 Summer
110	Wednesday 9:00 AM to 12:00 PM	2003 Summer
109	Wednesday 9:00 AM to 12:00 PM	2003 Summer
